f,Om
1.122018454301963e-05,1.2123489082108357e-15
1.4125375446227555e-05,2.8425628797547247e-15
1.778279410038923e-05,6.3760745728759954e-15
2.238721138568338e-05,1.218109159870952e-14
2.818382931264455e-05,2.20134210046669e-14
3.5481338923357534e-05,5.104727743500653e-14
4.466835921509635e-05,1.1615691611348614e-13
5.623413251903491e-05,2.160377241672786e-13
7.079457843841373e-05,3.5912626748352027e-13
8.912509381337459e-05,5.493412870779438e-13
0.0001122018454301963,7.815169029421458e-13
0.00014125375446227554,1.051146766872251e-12
0.00017782794100389227,1.3624478088040297e-12
0.000223872113856834,1.7218431013700781e-12
0.0002818382931264455,2.1378456998229157e-12
0.0003548133892335753,2.613139067791011e-12
0.0004466835921509635,3.144697268533359e-12
0.0005623413251903491,3.736071682134563e-12
0.000707945784384138,4.413373448672891e-12
0.0008912509381337459,5.214108827758972e-12
0.0011220184543019641,6.174599464206353e-12
0.001412537544622754,7.327900526425878e-12
0.0017782794100389228,8.676807889645124e-12
0.00223872113856834,1.0207320853607933e-11
0.002818382931264455,1.1930714815768402e-11
0.0035481338923357567,1.3887556970232649e-11
0.004466835921509635,1.6054438404391888e-11
0.005623413251903491,1.811854416421483e-11
0.00707945784384138,1.955777563545427e-11
0.008912509381337459,1.9771261778250744e-11
0.01122018454301964,1.896214612587408e-11
0.014125375446227554,1.7857466666622333e-11
0.01778279410038923,1.6604602713267515e-11
0.0223872113856834,1.4313166506638762e-11
0.02818382931264455,1.1169243326835348e-11
0.035481338923357565,7.473127638571436e-12
0.04466835921509635,3.3993386882774678e-12
0.05623413251903491,1.0498058073360556e-12
0.0707945784384138,1.4008530888798778e-13
0.08912509381337459,6.874819392743353e-15
0.1122018454301963,0.0
0.14125375446227553,0.0
0.1778279410038923,0.0
0.22387211385683423,0.0
0.2818382931264455,0.0
0.3548133892335753,0.0
0.4466835921509635,0.0
0.5623413251903491,0.0
0.7079457843841388,0.0
0.8912509381337459,0.0
