f,Om
1.122018454301963e-05,1.2499951825180236e-15
1.4125375446227555e-05,3.0379986449037664e-15
1.778279410038923e-05,7.23095536174306e-15
2.238721138568338e-05,1.5688097306607113e-14
2.818382931264455e-05,2.893512475580111e-14
3.5481338923357534e-05,6.047445714886092e-14
4.466835921509635e-05,1.2735310388455343e-13
5.623413251903491e-05,2.2709029764207152e-13
7.079457843841373e-05,3.68778986123181e-13
8.912509381337459e-05,5.575357862890876e-13
0.0001122018454301963,7.880665016444621e-13
0.00014125375446227554,1.0562125365366024e-12
0.00017782794100389227,1.3661870240272689e-12
0.000223872113856834,1.7244333911198814e-12
0.0002818382931264455,2.1395557796249496e-12
0.0003548133892335753,2.614259126202514e-12
0.0004466835921509635,3.145470402527546e-12
0.0005623413251903491,3.7365152700416375e-12
0.000707945784384138,4.41361847212692e-12
0.0008912509381337459,5.2143489361999565e-12
0.0011220184543019641,6.1747343664872605e-12
0.001412537544622754,7.328126598308774e-12
0.0017782794100389228,8.676891591923492e-12
0.00223872113856834,1.0208593784017365e-11
0.002818382931264455,1.1935616047932236e-11
0.0035481338923357567,1.392658812222215e-11
0.004466835921509635,1.620510563475529e-11
0.005623413251903491,1.8542782235264753e-11
0.00707945784384138,2.0337229302322204e-11
0.008912509381337459,2.0946389557941193e-11
0.01122018454301964,2.0519537685471883e-11
0.014125375446227554,1.9649060202526554e-11
0.01778279410038923,1.8539046564940897e-11
0.0223872113856834,1.6664168896409496e-11
0.02818382931264455,1.3704638643408811e-11
0.035481338923357565,1.0043096649777408e-11
0.04466835921509635,5.8531272796467075e-12
0.05623413251903491,2.200606507193616e-12
0.0707945784384138,5.130270856436996e-13
0.08912509381337459,4.796015686886397e-14
0.1122018454301963,2.969587249943147e-15
0.14125375446227553,0.0
0.1778279410038923,0.0
0.22387211385683423,0.0
0.2818382931264455,0.0
0.3548133892335753,0.0
0.4466835921509635,0.0
0.5623413251903491,0.0
0.7079457843841388,0.0
0.8912509381337459,0.0
