f,Om
1.122018454301963e-05,1.1970442090060446e-15
1.4125375446227555e-05,2.8561082426530754e-15
1.7782794100389226e-05,6.3776119274821275e-15
2.238721138568338e-05,1.2313137515450391e-14
2.818382931264455e-05,2.2192595405951123e-14
3.548133892335753e-05,5.034197880514189e-14
4.466835921509635e-05,1.1833837442792297e-13
5.623413251903491e-05,2.1567988819134364e-13
7.079457843841373e-05,3.607761364211573e-13
8.912509381337459e-05,5.526456119777412e-13
0.00011220184543019629,7.858092127770163e-13
0.00014125375446227554,1.0571050773428854e-12
0.0001778279410038923,1.3701546208343663e-12
0.000223872113856834,1.7311259743309797e-12
0.00028183829312644545,2.1468300217455836e-12
0.0003548133892335753,2.6242864215182933e-12
0.0004466835921509635,3.1580506384377658e-12
0.000562341325190349,3.750186627888061e-12
0.0007079457843841381,4.427711682011349e-12
0.0008912509381337458,5.2306044403074434e-12
0.0011220184543019641,6.193686053367726e-12
0.0014125375446227542,7.348495706294773e-12
0.0017782794100389228,8.704729968950347e-12
0.00223872113856834,1.0247137428416406e-11
0.0028183829312644552,1.1969403533483077e-11
0.0035481338923357567,1.3930805956915521e-11
0.004466835921509635,1.6101124469318428e-11
0.005623413251903491,1.8155693223954527e-11
0.00707945784384138,1.9654975539002168e-11
0.008912509381337459,1.982208995618734e-11
0.011220184543019643,1.902962898849292e-11
0.014125375446227554,1.7797522533253795e-11
0.01778279410038923,1.6680260652403953e-11
0.022387211385683402,1.4298887677271551e-11
0.02818382931264455,1.104177440180704e-11
0.035481338923357565,8.106534091172386e-12
0.04466835921509635,3.0270278326034872e-12
0.056234132519034905,6.140918744856878e-13
0.0707945784384138,4.3390090698797433e-14
0.08912509381337459,1.4176113139419307e-14
0.11220184543019629,0.0
0.14125375446227556,0.0
0.1778279410038923,0.0
0.22387211385683423,0.0
0.2818382931264455,0.0
0.35481338923357536,0.0
0.4466835921509635,0.0
0.5623413251903491,0.0
0.7079457843841388,0.0
0.8912509381337459,0.0
