f,Om
1.122018454301963e-05,5.406811700995908e-15
1.4125375446227555e-05,6.426926464805374e-15
1.778279410038923e-05,7.765345890687314e-15
2.238721138568338e-05,7.687770296261642e-15
2.818382931264455e-05,1.9056826069419324e-14
3.5481338923357534e-05,5.0991227438626466e-14
4.466835921509635e-05,1.1851297295565628e-13
5.623413251903491e-05,2.1898868347659432e-13
7.079457843841373e-05,3.650026732157146e-13
8.912509381337459e-05,5.56689943689776e-13
0.0001122018454301963,7.896252890060129e-13
0.00014125375446227554,1.0590680707460894e-12
0.00017782794100389227,1.3715102432470102e-12
0.000223872113856834,1.7312843773623581e-12
0.0002818382931264455,2.1467478560112244e-12
0.0003548133892335753,2.6219795461145564e-12
0.0004466835921509635,3.1550241042404804e-12
0.0005623413251903491,3.746003445602101e-12
0.000707945784384138,4.422987223028552e-12
0.0008912509381337459,5.224780218763839e-12
0.0011220184543019641,6.186859781900659e-12
0.001412537544622754,7.340117848825454e-12
0.0017782794100389228,8.695094609727764e-12
0.00223872113856834,1.0236311274538374e-11
0.002818382931264455,1.1961277395448641e-11
0.0035481338923357567,1.3956576348854672e-11
0.004466835921509635,1.6241850552210583e-11
0.005623413251903491,1.8584664425432786e-11
0.00707945784384138,2.038311776357177e-11
0.008912509381337459,2.094475819385856e-11
0.01122018454301964,2.0492761619084753e-11
0.014125375446227554,1.9583690952844246e-11
0.01778279410038923,1.856858686962533e-11
0.0223872113856834,1.6709523242718886e-11
0.02818382931264455,1.3710144124552701e-11
0.035481338923357565,1.0048700486431843e-11
0.04466835921509635,5.438785471096387e-12
0.05623413251903491,1.9145505652104916e-12
0.0707945784384138,3.072333814184298e-13
0.08912509381337459,1.6437332802068082e-14
0.1122018454301963,4.972994763850916e-16
0.14125375446227553,0.0
0.1778279410038923,0.0
0.22387211385683423,0.0
0.2818382931264455,0.0
0.3548133892335753,0.0
0.4466835921509635,0.0
0.5623413251903491,0.0
0.7079457843841388,0.0
0.8912509381337459,0.0
