t0,a_i,m1,m2,nu0,M_ch,K,nu_max,Dt_max
605.28,2.53103,0.81939,0.617932,2.974911434024031e-05,0.618227034807955,1.6511127870574327e-06,0.018888945839348827,8469.697680170713
5228.54,359.046,0.590813,0.602902,1.6046049589552602e-08,0.5195626582952437,1.235738668228625e-06,0.018093893051907478,5870392278003.9
303.373,11.9814,0.939608,1.03159,3.3825694134856903e-06,0.8568923144585188,2.8449447224006532e-06,0.04032980195453658,1619982.6408156038
7439.96,294.991,0.55428,0.577061,2.0976187558405847e-08,0.4923249598071193,1.1296654418614825e-06,0.016528074754920474,3143075232238.0317
1128.16,0.779712,0.6929,0.674454,0.00016970010031579848,0.595110406269907,1.5495038533641723e-06,0.021995104496562362,86.8752710156514
1259.01,0.244054,0.645813,0.553898,0.0009077209708552643,0.5203632528108396,1.2389138825125467e-06,0.016353000743788076,1.2410803861479112
661.131,7.82862,0.796822,0.887668,5.920376726314e-06,0.7319365603775921,2.1876901985176964e-06,0.02885421138266922,473505.14784760785
985.192,8.23515,0.711682,0.860394,5.301178663246368e-06,0.6806052665964241,1.938008133435259e-06,0.02362147827026418,717618.0177043465
1067.75,4.57656,1.00586,0.341078,1.1844262001640481e-05,0.495867022126928,1.1432436474706055e-06,0.008583164034565922,142587.66299637043
1767.5,0.176238,0.532493,0.50354,0.0013746128662711881,0.4507482085921897,9.75184452584439e-07,0.014523657562297137,0.520633610838703
2443.38,26.4059,0.997762,0.266647,8.280094081987784e-07,0.4311224923248324,9.05450171123295e-07,0.006511939524942215,217078507.76868472
1693.63,0.673346,0.452589,0.65106,0.00018997699062703072,0.4710085710199067,1.049328422773625e-06,0.0123817401677556,94.94126485209244
12597.1,435.069,0.607807,0.556054,1.1878354766149315e-08,0.5059986718334846,1.1824398232826164e-06,0.016529333688755716,13680845759015.926
2491.18,29.0477,0.628988,0.670785,7.276274478059118e-07,0.5654079610863946,1.4227653669048261e-06,0.0197277942224938,194992523.34677684
1236.59,0.629679,0.615375,0.652712,0.00022518458327329077,0.5516797684436513,1.3656576722590448e-06,0.019115489297128724,46.35828836841372
2631.33,34.3535,1.01894,0.29447,5.687044379183232e-07,0.4598685789952257,1.0082919842829932e-06,0.007262155538364935,530833283.7727917
2354.59,26.4696,1.00188,0.266235,8.262304487036765e-07,0.4315357552863937,9.068972021328993e-07,0.006500743417982509,217978765.67176545
366.956,1.11407,0.657653,0.794332,0.00010238946863237997,0.6286470654024565,1.6977545666432288e-06,0.020870468008966626,305.03719101951106
436.52,1.33539,1.22711,0.77999,9.1730818677113e-05,0.8473634276613317,2.7924127532071395e-06,0.027084606582500205,248.63083931896
538.504,1.92198,0.550918,0.734448,4.2514106037458063e-05,0.5526159901625094,1.3695224792369438e-06,0.016067051533531006,3940.8031910097907
1893.31,0.380441,0.526325,0.561729,0.00044415770122520023,0.47330208408070057,1.0578581777324659e-06,0.015381460287747693,9.780207036876304
239.531,2.43764,0.897893,0.98292,3.600488274832981e-05,0.8176671139998449,2.6312228876062295e-06,0.03650131008678088,3194.8764024007296
733.42,35.3545,1.02508,0.311639,5.495357551448661e-07,0.47581454442648863,1.067233891287064e-06,0.007738088033640961,549532377.7464012
