f,Om
1.0292005271944286e-05,0.0
1.0901844923851268e-05,0.0
1.1547819846894583e-05,1.8359061452892027e-18
1.2232071190499324e-05,6.2485179311154355e-18
1.2956866975170189e-05,1.4763133729883185e-17
1.3724609610075625e-05,5.4963431223911034e-17
1.4537843856076605e-05,1.2174004213484593e-16
1.539926526059492e-05,2.2155581607731828e-16
1.6311729092278396e-05,4.0746247510440245e-16
1.7278259805078628e-05,9.253303462257486e-16
1.8302061063110567e-05,1.4674866227160459e-15
1.9386526359522056e-05,2.472160585935962e-15
2.053525026457146e-05,4.169510353350261e-15
2.1752040340195246e-05,5.971845031188412e-15
2.3040929760558447e-05,9.760567271055365e-15
2.440619068041981e-05,1.1318573245315442e-14
2.5852348395621884e-05,1.484793407851214e-14
2.738419634264361e-05,2.1108554854661052e-14
2.900681198693156e-05,2.7418889841005242e-14
3.072557365267446e-05,3.459464900375815e-14
3.25461783498046e-05,4.2424820720656516e-14
3.447466065731491e-05,5.068117863893473e-14
3.651741272548377e-05,6.094918810135801e-14
3.868120546330525e-05,7.447930719434416e-14
4.0973210981354134e-05,8.940481216828627e-14
4.3401026364474406e-05,1.0733681024114894e-13
4.597269885308718e-05,1.2577025485122072e-13
4.8696752516586306e-05,1.4746061589879924e-13
5.158221650723061e-05,1.7108596251487415e-13
5.4638654988185394e-05,1.9653033587460094e-13
5.787619883491208e-05,2.2461572112335877e-13
6.130557921498202e-05,2.571179467134536e-13
6.493816315762113e-05,2.9311782705558787e-13
6.878599123088082e-05,3.305799871630226e-13
7.286181745132274e-05,3.7193921107151197e-13
7.717915155850126e-05,4.163391011713914e-13
8.175230379436493e-05,4.627557707962142e-13
8.659643233600654e-05,5.130876115126624e-13
9.172759353897803e-05,5.652863277649105e-13
9.716279515771057e-05,6.205033312260703e-13
0.00010292005271944285,6.766317893153831e-13
0.00010901844923851278,7.381697682846831e-13
0.00011547819846894582,8.015400857579423e-13
0.00012232071190499324,8.658011233063478e-13
0.00012956866975170187,9.308830614697889e-13
0.00013724609610075625,1.0020637382867629e-12
0.0001453784385607662,1.0756799362927292e-12
0.0001539926526059492,1.1515827647281075e-12
0.00016311729092278397,1.2301041323185598e-12
0.0001727825980507863,1.310017381300295e-12
0.00018302061063110568,1.3942110049057077e-12
0.00019386526359522075,1.4817771622267074e-12
